_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3066,c_b620,Comune di Canosa Sannita,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,4
3067,C_B621,Comune di Canosio,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
3068,c_b624,Comune di Cansano,Pubbliche Amministrazioni,ok,,,,,low,0,3,0
3069,c_b626,Comune di Cantagallo,Pubbliche Amministrazioni,ok,,,,,low,3,2,0
3070,c_b627,Comune di Cantalice,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
3071,c_b628,Comune di Cantalupa,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,10,3,6
3072,c_b629,Comune di Cantalupo Ligure,Pubbliche Amministrazioni,error,,,,,low,0,0,0
3073,c_b630,Comune di Cantalupo nel Sannio,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3074,c_b631,Comune di Cantalupo in Sabina,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3075,c_b632,Comune di Mandela,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,25,6,34
3076,c_b633,Comune di Cantarana,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
3077,c_b634,Comune di Cantello,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,3,2
3078,c_b635,Comune di Canterano,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3079,c_b636,Comune di Cantiano,Pubbliche Amministrazioni,ok,WordPress,"ASP.NET,jQuery",WordPress,Bootstrap Italia,high,27,6,12
3080,c_b637,Comune di Cantoira,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap,medium,5,4,3
3081,c_b639,Comune di Cantu',Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3082,c_b640,Comune di Canzano,Pubbliche Amministrazioni,ok,,,,Bootstrap,low,7,7,1
3083,c_b641,Comune di Canzo,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3084,c_b642,Comune di Caorle,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
3085,c_b643,Comune di Caorso,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3086,c_b644,Comune di Capaccio,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,22,2,10
