Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
c_f574,Comune di Montenars,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f675,Comune di Monticello Conte Otto,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_f710,Comune di Moraro,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f750,Comune di Morsano al Tagliamento,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f767,Comune di Mossa,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f770,Comune di Motta di Livenza,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
c_f795,Comune di Muggia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f832,Comune di Muzzana del Turgnano,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_f999,Comune di Oderzo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_g163,Comune di Osoppo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g198,Comune di Ovaro,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g224,Comune di Padova,Pubbliche Amministrazioni,Angular,"Drupal,React,jQuery",,Bootstrap Italia,medium,4,1,10
c_g229,Comune di Paese,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_g268,Comune di Palazzolo dello Stella,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
